company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),resolution,screentype,touchscreen,cpu(GHz),memory_1_storage_gb,memory_1_type,memory_2_storage_gb,memory_2_type,log_price
Asus,Rog GL702VM-GC017T,Gaming,17.3,Intel Core i7 6700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,2.73,1920x1080,,False,2.6,512.0,SSD,1000.0,HDD,7.4949862339505335
Asus,Vivobook E200HA,Netbook,11.6,Intel Atom x5-Z8350 ,2,Intel HD Graphics 400,Windows 10,0.98,1366x768,,False,1.44,32.0,FlashStorage,0.0,,5.256974403013654
Acer,Swift 3,Ultrabook,14.0,Intel Core i5 7200U ,8,Intel Graphics 620,Windows 10,1.8,1920x1080,IPSPanel,False,2.5,256.0,SSD,0.0,,6.823286122355687
Dell,XPS 15,Notebook,15.6,Intel Core i5 6300HQ ,8,Nvidia GeForce 960M,Windows 10,2.04,3840x2160,IPSPanel,True,2.3,256.0,SSD,0.0,,7.718987671760751
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 6600U ,16,Intel HD Graphics 520,Windows 10,1.1,2560x1440,IPSPanel,False,2.6,512.0,SSD,0.0,,7.649216319820633
HP,EliteBook 1030,Ultrabook,13.3,Intel Core M 6Y75 ,16,Intel HD Graphics 515,Windows 10,1.16,3200x1800,IPSPanel,True,1.2,512.0,SSD,0.0,,7.583247524303362
Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,Intel Core i7 6500U ,4,Nvidia GeForce 920M,Windows 10,2.2,1366x768,,False,2.5,500.0,HDD,0.0,,6.579695557718368
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,4,AMD Radeon 520,Windows 10,1.86,1366x768,,False,2.5,500.0,HDD,0.0,,6.417728518130933
HP,ProBook x360,2 in 1 Convertible,11.6,Intel Pentium Quad Core N4200 ,4,Intel HD Graphics 505,Windows 10,1.45,1366x768,,True,1.1,256.0,SSD,0.0,,6.652863029353347
Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.8,1920x1080,,False,1.8,128.0,SSD,1000.0,HDD,6.98933526597456
HP,Probook 450,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce 930MX,Windows 10,2.04,1920x1080,IPSPanel,False,2.70,128.0,SSD,1000.0,HDD,6.88653164253051
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,Intel Core i7 7500U ,4,AMD Radeon 530,Windows 10,2.1,1920x1080,IPSPanel,False,2.7,500.0,HDD,0.0,,6.535241271013659
Dell,XPS 13,Ultrabook,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.29,1920x1080,IPSPanel,True,2.5,128.0,SSD,0.0,,6.80128303447162
Asus,ZenBook Pro,Notebook,15.6,Intel Core i7 6700HQ ,12,Intel HD Graphics 530,Windows 10,2.06,3840x2160,IPSPanel,False,2.6,128.0,SSD,1000.0,HDD,7.1693500166706
Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,Intel Pentium Quad Core N4200 ,4,Intel HD Graphics 505,Windows 10,2.0,1366x768,,False,1.1,1000.0,HDD,0.0,,6.1070228877422545
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,8,Intel HD Graphics 520,Windows 10,1.86,1920x1080,,False,2,256.0,SSD,0.0,,6.289715570908998
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5 M420,Windows 10,1.68,1366x768,,False,3,1000.0,HDD,0.0,,6.150602768446279
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,1920x1080,IPSPanel,False,2.5,128.0,SSD,1000.0,HDD,6.906754778648554
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,Intel Core i3 6006U ,8,Intel HD Graphics 520,Windows 10,2.5,1600x900,,False,2,256.0,SSD,0.0,,6.461311914145415
HP,Pavilion 15-BC000nv,Notebook,15.6,Intel Core i7 6700HQ ,6,Nvidia GeForce GTX 960M,Windows 10,2.18,1920x1080,IPSPanel,False,2.6,1000.0,HDD,0.0,,6.683360945766275
Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U ,8,AMD Radeon 530,Linux,2.8,1920x1080,,False,1.8,128.0,SSD,1000.0,HDD,7.002155954403621
Dell,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,4.36,3840x2160,IPSPanel,False,2.8,512.0,SSD,1000.0,HDD,8.056426767522984
Acer,C740-C9QX (3205U/2GB/32GB/Chrome,Netbook,11.6,Intel Celeron Dual Core 3205U ,2,Intel HD Graphics,Chrome OS,1.3,1366x768,,False,1.5,32.0,SSD,0.0,,5.159055299214529
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.13,2560x1440,IPSPanel,False,2.7,512.0,SSD,0.0,,7.732807530422021
HP,EliteBook 820,Netbook,12.5,Intel Core i5 7300U ,8,Intel HD Graphics 620,Windows 10,1.26,1366x768,,False,2.6,256.0,SSD,0.0,,7.236339342754344
Acer,Aspire A315-31,Notebook,15.6,Intel Pentium Quad Core N4200 ,4,Intel HD Graphics 505,Linux,2.1,1366x768,,False,1.1,1000.0,HDD,0.0,,5.697093486505405
Dell,Inspiron 5567,Notebook,15.6,Intel Core i5 7200U ,8,AMD Radeon R7 M445,Windows 10,2.36,1366x768,,False,2.5,1000.0,HDD,0.0,,6.459888804802811
